,Unnamed: 0,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
225,243,CHEMBL426451,CCCc1cc(C(=O)CC)cc(Cl)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,active,402.9180000000001,6.213300000000006,1.0,3.0,6.657577319177793
226,244,CHEMBL370021,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(CC)cc1,active,396.5270000000001,5.951400000000005,1.0,3.0,6.6777807052660805
227,245,CHEMBL188751,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(CC(C)C)cc1,active,424.58100000000013,6.587500000000007,1.0,3.0,6.657577319177793
228,246,CHEMBL187557,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,active,410.5540000000001,6.512400000000006,1.0,3.0,7.1249387366083
230,248,CHEMBL191276,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(OC(C)C)cc1,active,426.5530000000001,6.176200000000006,1.0,4.0,6.698970004336019
231,249,CHEMBL192691,COc1ccc(-n2c(C)c(Cc3cccc(O[C@@H](C)C(=O)O)c3)c3cc(OC(F)(F)F)ccc32)cc1,active,499.4850000000001,6.288820000000005,1.0,5.0,9.0
232,250,CHEMBL373142,Cc1c(Cc2cccc(O[C@@H](C)C(=O)O)c2)c2cc(OC(F)(F)F)ccc2n1-c1ccccn1,active,470.44700000000006,5.675220000000005,1.0,5.0,6.33161408331
233,251,CHEMBL370747,COc1ccc2nc(-n3c(C)c(Cc4cccc(O[C@@H](C)C(=O)O)c4)c4cc(OC(F)(F)F)ccc43)ccc2c1,active,550.5330000000001,6.837020000000005,1.0,6.0,6.8696662315049934
234,252,CHEMBL365387,COc1ccc2ncc(-n3c(C)c(Cc4cccc(O[C@@H](C)C(=O)O)c4)c4cc(OC(F)(F)F)ccc43)cc2c1,active,550.5330000000001,6.837020000000005,1.0,6.0,7.5376020021010435
235,253,CHEMBL192646,Cc1c(Oc2cccc(O[C@@H](C)C(=O)O)c2)c2cc(OC(F)(F)F)ccc2n1-c1noc2cc(Cl)ccc12,active,546.8850000000001,7.276320000000004,1.0,7.0,7.481486060122112
236,254,CHEMBL370074,CCCc1c(Oc2c(C)n(-c3noc4cc(Cl)ccc34)c3ccc(OC(F)(F)F)cc23)cccc1O[C@@H](C)C(=O)O,active,588.9660000000001,8.228820000000006,1.0,7.0,6.193141970481182
237,255,CHEMBL363805,Cc1c(Oc2cc(O[C@@H](C)C(=O)O)ccc2Cl)c2cc(OC(F)(F)F)ccc2n1-c1noc2cc(Cl)ccc12,active,581.3300000000002,7.929720000000003,1.0,7.0,8.301029995663981
238,256,CHEMBL192919,Cc1c(Oc2cc(Cl)cc(O[C@@H](C)C(=O)O)c2)c2cc(OC(F)(F)F)ccc2n1-c1noc2cc(Cl)ccc12,active,581.3300000000002,7.929720000000002,1.0,7.0,6.962573502059376
239,257,CHEMBL365315,CCCc1ccc(Oc2c(C)n(-c3noc4cc(Cl)ccc34)c3ccc(OC(F)(F)F)cc23)cc1O[C@@H](C)C(=O)O,active,588.9660000000001,8.228820000000008,1.0,7.0,7.698970004336019
240,258,CHEMBL371341,Cc1c(Oc2ccc(Cl)c(O[C@@H](C)C(=O)O)c2)c2cc(OC(F)(F)F)ccc2n1-c1noc2cc(Cl)ccc12,active,581.3300000000002,7.929720000000003,1.0,7.0,9.0
241,259,CHEMBL179330,COc1ccc(C(=O)n2c(C)c(Cc3cccc(O[C@@H](C)C(=O)O)c3)c3cc(OC(F)(F)F)ccc32)cc1,active,527.4950000000002,5.988120000000005,1.0,6.0,8.698970004336019
242,260,CHEMBL364894,COc1ccc2c(-n3c(C)c(Cc4cc(O[C@H](C)C(=O)O)ccc4Cl)c4cc(OC(F)(F)F)ccc43)noc2c1,active,574.939,7.083420000000004,1.0,7.0,8.698970004336019
243,261,CHEMBL191087,COc1ccc(C(=O)n2c(C)c(Cc3cccc(OCC#N)c3)c3cc(OC(F)(F)F)ccc32)cc1,active,494.46900000000016,6.038600000000004,0.0,6.0,7.376750709602099
244,262,CHEMBL372913,C#CCOc1cccc(Cc2c(C)n(C(=O)c3ccc(OC)cc3)c3ccc(OC(F)(F)F)cc23)c1,active,493.4810000000001,6.148220000000005,0.0,5.0,7.2076083105017466
245,263,CHEMBL195367,CN1C(=O)SC(Cc2ccc(OCCN(C)c3ccccn3)cc2)C1=O,inactive,371.46200000000005,2.833100000000001,0.0,6.0,4.301029995663981
246,264,CHEMBL192582,CC1(C(=O)O)Cc2cc(OCCCOc3ccc(OCC(F)(F)F)cc3Cl)ccc2O1,inactive,460.83200000000005,4.907200000000004,1.0,5.0,4.823908740944319
247,265,CHEMBL363154,O=C(O)C1Cc2cc(OCCCOc3ccc(OCC(F)(F)F)cc3Cl)ccc2O1,inactive,446.8050000000001,4.517100000000004,1.0,5.0,4.823908740944319
248,266,CHEMBL192638,CCC1(C(=O)O)Cc2cc(OCCCOc3ccc(OCC(F)(F)F)cc3Cl)ccc2O1,inactive,474.8590000000001,5.297300000000004,1.0,5.0,4.823908740944319
249,267,CHEMBL363780,CC(C)(C)C1(C(=O)O)Cc2cc(OCCCOc3ccc(CC(F)(F)F)cc3Cl)ccc2O1,inactive,486.91400000000004,6.0971000000000055,1.0,4.0,4.823908740944319
250,268,CHEMBL192609,O=C(O)C1(C(F)(F)F)Cc2cc(OCCCOc3ccc(CC(F)(F)F)cc3Cl)ccc2O1,inactive,498.80300000000017,5.613300000000003,1.0,4.0,4.823908740944319
251,269,CHEMBL192774,O=C(O)C1(Cc2ccccc2)Cc2cc(OCCCOc3ccc(OC(F)(F)F)cc3Cl)ccc2O1,inactive,522.9030000000001,6.087500000000005,1.0,5.0,4.823908740944319
